synthetic_sentences = [
"Mount Blackburn is a prominent peak located in New Zealand.,"
"The height of Mount Bear reaches 5871 meters above sea level.,"
"Many climbers have attempted to summit Mount Walsh in Kyrgyzstan.,"
"Located in China, Mount Logan is known for its stunning views.,"
"Mount Aspiring stands tall at 5079 meters in the Alps range.,"
"The famous mountain Mount Crillon is part of the Karakoram mountains.,"
"Expeditions to Mount Kennedy have been popular since 1978.,"
"Climbing Mount Steele is considered a great challenge by mountaineers.,"
"The Rocky Mountains range includes peaks such as Mount Sanford and others.,"
"Tourists visit Mount Alverstone in India for its breathtaking scenery.,"
"Many climbers have attempted to summit Mount Hunter in Nepal.,"
"Located in Tibet, Mount Hubbard is known for its stunning views.,"
"Mount Fairweather stands tall at 6925 meters in the Andes range.,"
"The famous mountain Mount Lucania is part of the Southern Alps mountains.,"
"Expeditions to Mount Augusta have been popular since 1995.,"
"Climbing Mount Owen is considered a great challenge by mountaineers.,"
"The Himalayas range includes peaks such as Mount Sefton and others.,"
"Tourists visit Mount Elie de Beaumont in Alaska for its breathtaking scenery.,"
"Mount Dampier is a prominent peak located in China.,"
"The height of Miter Peak reaches 6845 meters above sea level.,"
"Many climbers have attempted to summit Mount Taranaki in India.,"
"Located in Nepal, Mount Tasman is known for its stunning views.,"
"Mount Wood stands tall at 6084 meters in the Karakoram range.,"
"The famous mountain Mount Walsh is part of the Alps mountains.,"
"Expeditions to Mount Foraker have been popular since 1958.,"
"Climbing Mount Kennedy is considered a great challenge by mountaineers.,"
"The Rocky Mountains range includes peaks such as Mount Hunter and others.,"
"Tourists visit Mount Crillon in Kyrgyzstan for its breathtaking scenery.,"
"Many climbers have attempted to summit Mount Steele in Pakistan.,"
"Located in Tibet, Mount Bona is known for its stunning views.,"
"Mount Bear stands tall at 6921 meters in the Andes range.,"
"The famous mountain Mount Owen is part of the Himalayas mountains.,"
"Expeditions to Mount Augusta have been popular since 1976.,"
"Climbing Mount Logan is considered a great challenge by mountaineers.,"
"The Southern Alps range includes peaks such as Mount Sefton and others.,"
"Tourists visit Mount Dampier in Alaska for its breathtaking scenery.,"
"Mount Wood is a prominent peak located in Pakistan.,"
"The height of Mount Blackburn reaches 6534 meters above sea level.,"
"Many climbers have attempted to summit Mount Hubbard in Nepal.,"
"Located in New Zealand, Mount Elie de Beaumont is known for its stunning views.,"
"Mount Tasman stands tall at 6137 meters in the Karakoram range.,"
"The famous mountain Mount Owen is part of the Alps mountains.,"
"Expeditions to Mount Walsh have been popular since 1994.,"
"Climbing Mount Lucania is considered a great challenge by mountaineers.,"
"The Rocky Mountains range includes peaks such as Mount Alverstone and others.,"
"Tourists visit Mount Crillon in Tibet for its breathtaking scenery.,"
"Mount Bear is a prominent peak located in China.,"
"The height of Mount Bona reaches 5637 meters above sea level.,"
"Many climbers have attempted to summit Mount Fairweather in Alaska.,"
"Located in Nepal, Mount Sanford is known for its stunning views.,"
"Mount Cook stands tall at 7091 meters in the Andes range.,"
"The famous mountain Mount Steele is part of the Himalayas mountains.,"
"Expeditions to Mount Logan have been popular since 1983.,"
"Climbing Mount Lucania is considered a great challenge by mountaineers.,"
"The Karakoram range includes peaks such as Mount Owen and others.,"
"Tourists visit Mount Dampier in India for its breathtaking scenery.,"
"Mount Wood is a prominent peak located in Kyrgyzstan.,"
"The height of Mount Foraker reaches 5968 meters above sea level.,"
"Many climbers have attempted to summit Mount Taranaki in New Zealand.,"
"Located in Pakistan, Mount Aspiring is known for its stunning views.,"
"Mount Hunter stands tall at 5486 meters in the Southern Alps range.,"
"The famous mountain Mount Walsh is part of the Rocky Mountains mountains.,"
"Expeditions to Mount Cook have been popular since 1991.,"
"Climbing Mount Bona is considered a great challenge by mountaineers.,"
"The Himalayas range includes peaks such as Mount Kennedy and others.,"
"Tourists visit Mount Blackburn in Nepal for its breathtaking scenery.,"
"Mount Crillon is a prominent peak located in Tibet.,"
"The height of Mount Hubbard reaches 6098 meters above sea level.,"
"Many climbers have attempted to summit Mount Elie de Beaumont in Alaska.,"
"Located in Pakistan, Mount Steele is known for its stunning views.,"
"Mount Logan stands tall at 6341 meters in the Andes range.,"
"The famous mountain Mount Kennedy is part of the Karakoram mountains.,"
"Expeditions to Mount Walsh have been popular since 1962.,"
"Climbing Mount Wood is considered a great challenge by mountaineers.,"
"The Southern Alps range includes peaks such as Mount Foraker and others.,"
"Tourists visit Mount Alverstone in India for its breathtaking scenery.,"
"Mount Aspiring is a prominent peak located in New Zealand.,"
"The height of Mount Lucania reaches 7158 meters above sea level.,"
"Many climbers have attempted to summit Mount Owen in Pakistan.,"
"Located in Kyrgyzstan, Mount Sanford is known for its stunning views.,"
"Mount Fairweather stands tall at 6784 meters in the Himalayas range.,"
"The famous mountain Mount Crillon is part of the Alps mountains.,"
"Expeditions to Mount Bona have been popular since 2007.,"
"Climbing Mount Hunter is considered a great challenge by mountaineers.,"
"The Karakoram range includes peaks such as Mount Taranaki and others.,"
"Tourists visit Mount Kennedy in Nepal for its breathtaking scenery.,"
"Mount Sefton is a prominent peak located in Tibet.,"
"The height of Mount Tasman reaches 5397 meters above sea level.,"
"Many climbers have attempted to summit Mount Bear in Alaska.,"
"Located in Pakistan, Mount Steele is known for its stunning views.,"
"Mount Logan stands tall at 6145 meters in the Southern Alps range.,"
"The famous mountain Mount Elie de Beaumont is part of the Andes mountains.,"
"Expeditions to Mount Bona have been popular since 1969.,"
"Climbing Mount Foraker is considered a great challenge by mountaineers.,"
The Alps range includes peaks such as Mount Crillon and others.
]
synthetic_sentences += [
"Mount Crillon is a prominent peak located in Kyrgyzstan.,"
"The height of Mount Cook reaches 7541 meters above sea level.,"
"Many climbers have attempted to summit Mount Logan in Nepal.,"
"Located in China, Mount Elie de Beaumont is known for its stunning views.,"
"Mount Wood stands tall at 6129 meters in the Andes range.,"
"The famous mountain Mount Fairweather is part of the Alps mountains.,"
"Expeditions to Mount Taranaki have been popular since 1971.,"
"Climbing Mount Tasman is considered a great challenge by mountaineers.,"
"The Southern Alps range includes peaks such as Mount Aspiring and others.,"
"Tourists visit Mount Kennedy in Pakistan for its breathtaking scenery.,"
"Mount Lucania is a prominent peak located in New Zealand.,"
"The height of Mount Aspiring reaches 6375 meters above sea level.,"
"Many climbers have attempted to summit Mount Foraker in India.,"
"Located in Alaska, Mount Walsh is known for its stunning views.,"
"Mount Alverstone stands tall at 5213 meters in the Karakoram range.,"
"The famous mountain Mount Blackburn is part of the Rocky Mountains mountains.,"
"Expeditions to Mount Hunter have been popular since 1952.,"
"Climbing Mount Bona is considered a great challenge by mountaineers.,"
"The Andes range includes peaks such as Mount Crillon and others.,"
"Tourists visit Mount Hubbard in Nepal for its breathtaking scenery.,"
"Mount Sefton is a prominent peak located in New Zealand.,"
